1,ABCOTS,56.85,57.5,51.5,53.55,51.5,56,60000,3360800,2022-01-28,15,INE08PH01015,A B Cotspin India Limited,2022-01-11,10,INE08PH01015,10
2,ACCORD,32.3,32.3,31.15,31.15,31.15,30.8,8000,256100,2022-01-28,4,INE113X01015,Accord Synergy Limited,2017-07-06,10,INE113X01015,10
3,AILIMITED,25.3,25.3,25.3,25.3,25.3,24.1,9000,227700,2022-01-28,3,INE0CAJ01017,Abhishek Integrations Limited,2021-06-21,10,INE0CAJ01017,10
4,AISL,69.65,69.7,69,69,69,66.5,6000,416820,2022-01-28,4,INE635Y01015,ANI Integrated Services Limited,2017-11-20,10,INE635Y01015,10
5,AMJUMBO,8.5,8.5,8.45,8.45,8.45,8.85,48000,406000,2022-01-28,6,INE749Y01014,A and M Jumbo Bags Limited,2018-02-12,10,INE749Y01014,10
6,ASLIND,34.4,34.4,34.4,34.4,34.4,32.8,4000,137600,2022-01-28,1,INE617I01024,ASL Industries Limited,2017-04-18,10,INE617I01024,10
7,ATALREAL,145,155,145,155,155,155.5,24000,3518320,2022-01-28,14,INE0ALR01011,Atal Realtech Limited,2020-10-15,10,INE0ALR01011,10
8,AURDIS,72.6,72.6,72.6,72.6,72.6,76.4,2000,145200,2022-01-28,1,INE448V01019,Aurangabad Distillery Limited,2016-10-17,10,INE448V01019,10
9,AVSL,37.1,37.1,37.1,37.1,37.1,35.35,3000,111300,2022-01-28,1,INE522V01011,AVSL Industries Limited,2016-10-06,10,INE522V01011,10
10,BBTCL,217.3,217.35,217.3,217.35,217.35,207,15000,3260100,2022-01-28,5,INE01EE01011,B&B Triplewall Containers Limited,2018-10-15,10,INE01EE01011,10
11,BETA,614,614,610,610,610,608.7,1200,735200,2022-01-28,3,INE351Y01019,Beta Drugs Limited,2017-10-12,10,INE351Y01019,10
12,BEWLTD,829.5,829.5,820,829.5,829.5,790,5000,4145125,2022-01-28,19,INE0HQI01014,BEW Engineering Limited,2021-09-16,10,INE0HQI01014,10
13,BMETRICS,142,144.4,142,143.2,144.4,144.95,2400,343680,2022-01-28,2,INE0I3Y01014,Bombay Metrics Supply Chain Limited,2021-10-12,10,INE0I3Y01014,10
14,BRIGHT,8.1,8.55,8.1,8.5,8.45,8.15,255000,2143800,2022-01-28,81,INE684Z01010,Bright Solar Limited,2018-07-09,10,INE684Z01010,10
15,CADSYS,31.45,32.9,31.45,31.55,31.55,33.1,6000,191800,2022-01-28,3,INE090Y01013,Cadsys (India) Limited,2017-10-04,10,INE090Y01013,10
16,CMMIPL,13.95,13.95,13.95,13.95,13.95,14,81000,1129950,2022-01-28,4,INE289S01013,CMM Infraprojects Limited,2017-10-12,10,INE289S01013,10
17,CONTI,10.15,10.25,10.15,10.25,10.25,10.6,29997,305136.15,2022-01-28,6,INE340Z01019,Continental Seeds and Chemicals Limited,2018-04-04,10,INE340Z01019,10
18,CROWN,28.5,29.6,28.5,29.35,29.55,28.2,30000,878500,2022-01-28,6,INE491V01019,Crown Lifters Limited,2016-09-27,10,INE491V01019,10
19,DESTINY,12.15,12.15,12.15,12.15,12.15,11.6,18000,218700,2022-01-28,3,INE0IGO01011,Destiny Logistics & Infra Limited,2021-10-13,10,INE0IGO01011,10
20,DEVIT,96.5,110.75,94.25,109.5,109.5,102.75,63000,6050700,2022-01-28,7,INE060X01018,Dev Information Technology Limited,2017-04-17,10,INE060X01018,10
21,DIL,131.5,132,131.5,132,132,127,4800,633000,2022-01-28,4,INE411Y01011,Debock Industries Limited,2018-06-05,10,INE411Y01011,10
22,DKEGL,57,59.8,56.3,57,57,56,27000,1567950,2022-01-28,9,INE0GN101014,D.K. Enterprises Global Limited,2021-10-22,10,INE0GN101014,10
23,DYNAMIC,32.5,34.15,31.2,31.2,31.2,32.8,90000,2879600,2022-01-28,43,INE0DZ701010,Dynamic Services & Security Limited,2021-10-13,10,INE0DZ701010,10
24,E2E,120.15,120.15,120.15,120.15,120.15,114.45,2000,240300,2022-01-28,1,INE255Z01019,E2E Networks Limited,2018-05-15,10,INE255Z01019,10
25,EMKAYTOOLS,222.9,222.9,222.9,222.9,222.9,234.6,1200,267480,2022-01-28,2,INE332S01011,Emkay Taps and Cutting Tools Limited,2015-08-13,10,INE332S01011,10
26,EUROBOND,110.8,113,110.8,113,113,107.65,176000,19831000,2022-01-28,85,INE505V01016,Euro Panel Products Limited,2021-12-24,10,INE505V01016,10
27,FOCE,201,212,201,212,212,210,2400,499860,2022-01-28,4,INE0I7D01019,Foce India Limited,2021-12-28,10,INE0I7D01019,10
28,HPIL,73.3,73.3,73.3,73.3,73.3,69.85,3000,219900,2022-01-28,1,INE05X901010,Hindprakash Industries Limited,2020-01-27,10,INE05X901010,10
29,INNOVANA,258,258.5,258,258,258,264.5,6000,1548550,2022-01-28,6,INE403Y01018,Innovana Thinklabs Limited,2017-12-12,10,INE403Y01018,10
30,INNOVATIVE,8.85,8.9,8.65,8.65,8.65,8.5,45000,398850,2022-01-28,14,INE070Y01015,Innovative Tyres and Tubes Limited,2017-10-05,10,INE070Y01015,10
31,JAINAM,100.4,109.95,100.4,106.5,106.5,100.4,32000,3436100,2022-01-28,16,INE02KC01010,Jainam Ferro Alloys (I) Limited,2021-10-08,10,INE02KC01010,10
32,JALAN,12.9,12.95,12.9,12.9,12.9,12.35,21000,271500,2022-01-28,7,INE349X01015,Jalan Transolutions (India) Limited,2017-05-31,10,INE349X01015,10
33,KHFM,51,55,51,55,55,53.1,6200,328600,2022-01-28,2,INE00UG01014,Khfm Hospitality And Facility Management Services Limited,2019-04-12,10,INE00UG01014,10
34,KOTYARK,325.45,325.45,309.2,309.2,309.2,325.45,32000,10020300,2022-01-28,12,INE0J0B01017,Kotyark Industries Limited,2021-11-02,10,INE0J0B01017,10
35,KSHITIJPOL,28.5,28.5,28.5,28.5,28.5,28,23330,664905,2022-01-28,1,INE013801019,Kshitij Polyline Limited,2018-10-08,10,INE013801019,10
36,KSOLVES,359.8,359.8,341.5,344.85,344.95,349.65,14800,5124320,2022-01-28,37,INE0D6I01015,Ksolves India Limited,2020-07-06,10,INE0D6I01015,10
37,LEXUS,31.75,31.75,31.75,31.75,31.75,30.25,2000,63500,2022-01-28,2,INE500X01013,Lexus Granito (India) Limited,2017-08-23,10,INE500X01013,10
38,MAHICKRA,77.15,80.6,77.15,80.6,80.6,78.7,4500,352500,2022-01-28,3,INE961Y01015,Mahickra Chemicals Limited,2018-04-26,10,INE961Y01015,10
39,MHHL,32.75,32.75,30.9,30.9,30.9,31.35,9000,283650,2022-01-28,3,INE450S01011,Mohini Health & Hygiene Limited,2018-02-16,10,INE450S01011,10
40,MITCON,96.15,96.15,96.15,96.15,96.15,91.6,18000,1730700,2022-01-28,4,INE828O01033,MITCON Consultancy & Engineering Services Limited,2013-11-01,10,INE828O01033,10
41,NARMADA,13.8,13.8,13.8,13.8,13.8,13.5,14400,198720,2022-01-28,2,INE117Z01011,Narmada Agrobase Limited,2018-04-19,10,INE117Z01011,10
42,NIDAN,50.3,51.95,50.3,50.75,50.75,51.55,30000,1535500,2022-01-28,29,INE0J6L01013,Nidan Laboratories and Healthcare Limited,2021-11-12,10,INE0J6L01013,10
43,NPST,74.6,75,65,74.9,74.9,71,9600,702560,2022-01-28,6,INE0FFK01017,Network People Services Technologies Limited,2021-08-10,10,INE0FFK01017,10
44,NRL,301,301,301,301,301,286.7,30000,9030000,2022-01-28,14,INE0JM501013,Nupur Recyclers Limited,2021-12-23,10,INE0JM501013,10
45,OSIAHYPER,250,250,250,250,250,260,400,100000,2022-01-28,1,INE06IR01013,Osia Hyper Retail Limited,2019-04-05,10,INE06IR01013,10
46,OSWALSEEDS,73.3,73.3,73.3,73.3,73.3,69.85,12000,879600,2022-01-28,3,INE00IK01011,ShreeOswal Seeds And Chemicals Limited,2018-06-20,10,INE00IK01011,10
47,PARTYCRUS,82,82,82,82,82,81,2000,164000,2022-01-28,1,INE06ZX01015,Party Cruisers Limited,2021-03-05,10,INE06ZX01015,10
48,PASHUPATI,91,92,90,92,92,93,4800,436800,2022-01-28,3,INE124Y01010,Pashupati Cotspin Limited,2017-09-08,10,INE124Y01010,10
49,PAVNAIND,280.5,280.5,280.5,280.5,280.5,290,800,224400,2022-01-28,1,INE07S101020,Pavna Industries Limited,2021-03-09,10,INE07S101020,10
50,PRITI,66,69.95,66,69,69,65.25,19200,1308640,2022-01-28,6,INE974Z01015,Priti International Limited,2018-06-21,10,INE974Z01015,10
51,QUADPRO,13.35,13.35,12.8,12.8,12.8,12.9,36000,468000,2022-01-28,6,INE0GOJ01027,Quadpro Ites Limited,2021-09-30,2,INE0GOJ01027,2
52,RELIABLE,49.85,49.85,49.5,49.85,49.85,47.5,38400,1913400,2022-01-28,16,INE375Y01018,Reliable Data Services Limited,2017-10-11,10,INE375Y01018,10
53,SARVESHWAR,39.8,39.8,39.8,39.8,39.8,37.95,6400,254720,2022-01-28,4,INE324X01018,Sarveshwar Foods Limited,2018-03-15,10,INE324X01018,10
54,SECL,99,99,99,99,99,94.75,3000,297000,2022-01-28,1,INE00Y701018,Salasar Exteriors and Contour Limited,2019-09-12,10,INE00Y701018,10
55,SECURCRED,58,58,57.95,57.95,57.95,60.95,1800,104340,2022-01-28,3,INE195Y01010,SecUR Credentials Limited,2017-11-13,10,INE195Y01010,10
56,SHUBHLAXMI,20.95,21,20,20,20,20.95,4000,82000,2022-01-28,4,INE01Z401013,Shubhlaxmi Jewel Art Limited,2018-12-04,10,INE01Z401013,10
57,SIGMA,680,680,680,680,680,652.05,600,408000,2022-01-28,1,INE0A0S01010,Sigma Solve Limited,2020-10-19,10,INE0A0S01010,10
58,SILVERTUC,170.05,171.15,170.05,171,171,165.15,5000,852450,2022-01-28,5,INE625X01018,Silver Touch Technologies Limited,2017-12-01,10,INE625X01018,10
59,SMVD,22.05,22.05,22.05,22.05,22.05,21,6000,132300,2022-01-28,3,INE702Y01013,SMVD Poly Pack Limited,2017-12-26,10,INE702Y01013,10
60,SOFTTECH,120,120,120,120,120,120,1600,192000,2022-01-28,1,INE728Z01015,Softtech Engineers Limited,2018-05-11,10,INE728Z01015,10
61,SOLEX,137.35,140,131,131,131,137.35,8000,1078900,2022-01-28,4,INE880Y01017,Solex Energy Limited,2018-02-05,10,INE880Y01017,10
62,SONAMCLOCK,71,71.2,70.9,70.95,70.95,70.7,18000,1278900,2022-01-28,6,INE00LM01011,Sonam Clock Limited,2018-06-14,10,INE00LM01011,10
63,SRIRAM,10.05,10.05,10.05,10.05,10.05,10.55,6000,60300,2022-01-28,1,INE634W01012,Shri Ram Switchgears Limited,2017-06-07,10,INE634W01012,10
64,SSINFRA,24.9,24.9,24.9,24.9,24.9,23.75,18000,448200,2022-01-28,5,INE182Z01015,S.S. Infrastructure Development Consultants Limited,2018-04-12,10,INE182Z01015,10
65,SURANI,41.4,43.3,41.3,42.45,42.45,43.45,26000,1095600,2022-01-28,13,INE01ZJ01015,Surani Steel Tubes Limited,2019-02-06,10,INE01ZJ01015,10
66,TARACHAND,56.5,58.7,56,57.95,57.95,55.5,12000,691700,2022-01-28,6,INE555Z01012,Tara Chand Logistic Solutions Limited,2018-03-23,10,INE555Z01012,10
67,THEJO,1319.95,1319.95,1230.05,1272.45,1314.9,1261.55,1650,2138992.5,2022-01-28,10,INE121N01019,Thejo Engineering Limited,2012-09-18,10,INE121N01019,10
68,TIMESCAN,144.8,161.15,144,157.35,157.7,134.3,176000,27343500,2022-01-28,87,INE0IJY01014,Timescan Logistics (India) Limited,2022-01-12,10,INE0IJY01014,10
69,TIRUPATI,59.6,59.6,59.6,59.6,59.6,56.8,3000,178800,2022-01-28,1,INE238Y01018,Shree Tirupati Balajee FIBC Limited,2017-10-05,10,INE238Y01018,10
70,TRANSWIND,9.85,9.85,9.85,9.85,9.85,10.35,8000,78800,2022-01-28,2,INE792X01016,Transwind Infrastructures Limited,2017-07-12,10,INE792X01016,10
71,UCL,59,59,59,59,59,53.5,2000,118000,2022-01-28,1,INE00NI01015,Ushanti Colour Chem Limited,2018-08-02,10,INE00NI01015,10
72,VASA,7.75,7.75,7.75,7.75,7.75,7.4,4000,31000,2022-01-28,1,INE068Z01016,Vasa Retail and Overseas Ltd,2018-02-06,10,INE068Z01016,10
73,VCL,86,87,86,87,87,84.25,5000,432500,2022-01-28,2,INE098201010,Vaxtex Cotfab Limited,2020-01-13,10,INE098201010,10
74,VINNY,39.6,46,39.6,40.1,40.1,44,36000,1458900,2022-01-28,9,INE01KI01019,Vinny Overseas Limited,2018-10-11,10,INE01KI01019,10
75,VIVO,294.45,301,286,301,301,280,9600,2794320,2022-01-28,4,INE0IA701014,Vivo Collaboration Solutions Limited,2021-12-31,10,INE0IA701014,10
76,VMARCIND,47.8,49.45,45.25,46.95,47,45.95,51000,2427750,2022-01-28,16,INE0GXK01018,V Marc India Limited,2021-04-09,10,INE0GXK01018,10
77,VSCL,27.1,27.1,27.1,27.1,27.1,25.85,3000,81300,2022-01-28,1,INE551Q01028,Vadivarhe Speciality Chemicals Limited,2017-06-02,10,INE551Q01028,10
78,WALPAR,31.2,31.2,29.65,29.65,29.65,31.2,6000,181000,2022-01-28,3,INE0G2G01015,Walpar Nutritions Limited,2021-07-13,10,INE0G2G01015,10
79,WEWIN,39.8,39.8,39.8,39.8,39.8,37.95,9000,358200,2022-01-28,3,INE082W01014,WE WIN LIMITED,2017-08-09,10,INE082W01014,10